,#DEPTH,DIP,AZIM,QUAL,DEVI,HAZI,AAZI,ADIP,DIPTYPE
82,1915.35,2.6,337.1,1.0,31.6,300.8,303.5,33.7,BED
83,1915.56,4.2,29.4,1.0,31.6,300.8,308.8,32.0,BED
84,1915.83,7.6,357.5,1.0,31.6,300.7,311.5,36.2,BED
85,1916.15,3.2,351.9,1.0,31.6,300.8,305.3,33.7,BED
86,1916.55,5.3,11.4,1.0,31.6,300.7,309.7,33.7,BED
87,1916.83,3.3,350.2,1.0,31.6,300.8,305.3,33.9,BED
88,1916.97,77.9,135.6,1.0,31.6,300.5,140.7,47.7,FRACTURE
89,1917.45,6.7,66.7,1.0,31.7,300.8,312.4,28.2,BED
90,1917.81,1.2,326.6,1.0,31.7,300.8,301.8,32.8,BED
91,1918.19,5.3,11.5,1.0,31.7,300.8,309.7,33.8,BED
92,1918.62,2.5,24.9,1.0,31.7,300.7,305.3,32.0,BED
93,1918.9,5.6,61.0,1.0,31.7,300.8,310.6,29.3,BED
94,1919.18,5.8,13.7,1.0,31.7,300.7,310.6,33.8,BED
95,1919.51,4.9,21.4,1.0,31.8,300.7,309.7,32.9,BED
96,1919.86,1.3,58.7,1.0,31.7,300.5,302.6,31.1,BED
97,1920.31,1.8,22.7,1.0,31.7,300.1,303.5,32.0,BED
98,1920.74,3.4,338.0,1.0,31.8,300.8,304.4,34.6,BED
99,1921.08,2.0,51.4,1.0,31.8,300.7,304.4,31.1,BED
100,1921.42,4.7,33.0,1.0,31.9,300.8,309.7,32.0,BED
101,1922.23,3.9,4.4,1.0,31.9,300.8,307.1,33.8,BED
102,1922.46,1.2,329.1,1.0,31.9,300.7,301.8,32.9,BED
103,1922.82,2.2,5.8,1.0,31.9,300.7,304.4,32.9,BED
104,1923.27,2.9,29.4,1.0,31.8,300.6,306.2,32.0,BED
105,1923.61,5.6,324.4,1.0,31.9,300.7,304.4,37.1,BED
106,1923.85,4.5,21.4,1.0,31.9,300.7,308.8,32.9,BED
107,1924.02,3.0,68.0,1.0,31.9,300.6,305.3,30.2,BED
108,1924.23,1.1,330.5,1.0,31.9,300.7,301.8,32.9,BED
109,1924.54,6.5,2.4,1.0,32.0,300.7,310.6,35.5,BED
110,1925.16,4.3,9.4,1.0,32.0,300.7,307.9,33.7,BED
111,1925.36,3.0,68.2,1.0,32.0,300.6,305.3,30.2,BED
112,1925.62,2.2,54.4,1.0,32.0,300.6,304.4,31.2,BED
113,1925.8,3.9,76.4,1.0,32.0,300.6,306.2,29.3,BED
114,1926.08,1.8,288.4,1.0,32.0,300.7,300.0,33.8,BED
115,1926.4,4.8,33.9,1.0,32.0,300.7,309.7,32.1,BED
116,1926.66,4.0,21.1,1.0,32.1,300.7,307.9,32.9,BED
117,1926.95,2.5,31.6,1.0,32.0,300.6,305.3,32.1,BED
118,1927.29,1.4,352.9,1.0,32.1,300.6,302.6,32.9,BED
119,1927.44,58.5,288.7,1.0,32.0,300.5,290.5,90.0,DRILL.IND.FRAC.
120,1927.56,1.6,31.1,1.0,32.0,300.5,303.5,32.1,BED
121,1927.99,10.0,49.1,1.0,32.1,300.5,319.4,30.2,BED
122,1928.4,4.4,44.9,1.0,32.1,299.7,307.9,31.2,BED
123,1929.13,5.8,300.9,1.0,32.1,298.7,299.1,37.9,BED
124,1929.73,0.9,358.3,1.0,32.3,297.7,299.1,32.8,BED
125,1929.98,4.0,18.4,1.0,32.1,298.1,305.3,33.0,BED
126,1930.55,11.5,332.0,1.0,32.2,297.3,307.1,42.1,BED
127,1930.71,7.2,11.7,1.0,32.1,295.6,307.9,34.5,BED
128,1930.97,86.6,268.6,1.0,32.2,294.1,85.6,64.5,FRACTURE
129,1931.04,10.4,330.4,1.0,32.2,291.9,301.8,40.8,BED
130,1931.33,5.6,356.8,1.0,32.2,279.5,289.4,33.8,BED
131,1931.59,9.1,328.7,1.0,32.2,276.9,288.5,38.5,BED
132,1931.93,3.7,3.3,1.0,32.3,290.9,297.3,33.6,BED
133,1932.26,4.3,49.9,1.0,32.2,300.1,307.9,31.0,BED
134,1932.68,4.9,352.7,1.0,32.2,300.3,307.1,35.4,BED
135,1932.9,2.0,17.8,1.0,32.3,300.8,304.4,32.8,BED
136,1933.09,2.6,19.2,1.0,32.2,300.5,305.3,32.8,BED
137,1933.52,1.1,48.4,1.0,32.3,300.6,302.6,31.9,BED
138,1933.77,3.5,330.0,1.0,32.3,300.5,303.5,35.4,BED
139,1933.99,3.7,337.1,1.0,32.3,300.6,304.4,35.4,BED
140,1934.12,58.4,287.0,1.0,32.3,300.6,289.0,90.0,DRILL.IND.FRAC.
141,1934.38,1.1,53.0,1.0,32.4,299.8,301.8,32.0,BED
142,1934.85,3.1,20.5,1.0,32.3,282.7,288.5,32.1,BED
143,1935.13,7.0,356.8,1.0,32.3,273.3,285.8,33.7,BED
144,1935.37,5.6,344.9,1.0,32.3,273.9,283.2,34.5,BED
145,1935.78,7.0,340.2,1.0,32.4,286.2,295.6,36.9,BED
146,1936.12,3.8,309.3,1.0,32.4,297.8,299.1,36.1,BED
147,1936.31,2.9,22.4,1.0,32.3,299.0,304.4,32.8,BED
148,1936.51,1.0,4.3,1.0,32.4,300.1,301.8,32.8,BED
149,1936.85,3.7,12.3,1.0,32.4,299.8,306.2,33.7,BED
150,1937.12,1.8,13.8,1.0,32.4,295.8,299.1,32.8,BED
151,1937.36,3.8,46.7,1.0,32.4,292.4,299.1,31.0,BED
152,1937.57,6.4,45.8,1.0,32.4,290.1,301.8,30.1,BED
153,1938.05,3.8,27.1,1.0,32.4,286.7,293.8,31.9,BED
154,1938.26,2.1,341.8,1.0,32.4,285.3,288.5,33.6,BED
155,1938.51,2.3,316.4,1.0,32.4,289.3,291.1,34.5,BED
156,1938.84,2.3,59.8,1.0,32.5,289.5,292.9,31.0,BED
157,1939.05,3.7,15.0,1.0,32.4,287.8,294.7,32.8,BED
158,1939.52,9.2,21.8,1.0,32.4,292.1,308.8,33.6,BED
159,1939.89,4.3,359.7,1.0,32.5,293.9,300.9,34.4,BED
160,1940.12,1.0,13.3,1.0,32.5,295.4,297.3,32.7,BED
161,1940.42,5.9,21.4,1.0,32.5,298.1,308.8,33.6,BED
162,1940.72,4.6,318.1,1.0,32.5,300.3,302.6,36.9,BED
163,1940.98,3.9,320.3,1.0,32.5,300.4,302.6,36.1,BED
164,1941.39,0.9,165.4,1.0,32.5,300.3,299.1,31.9,BED
