,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__learning_rate,param_estimator__max_depth,param_estimator__max_features,param_estimator__min_samples_leaf,param_estimator__min_samples_split,param_estimator__n_estimators,param_estimator__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score
97,26.491463899612427,1.8400672927425705,0.01412493387858073,0.005663537309185157,0.5,30,10,2,10,20,0.8,"{'estimator__learning_rate': 0.5, 'estimator__max_depth': 30, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20, 'estimator__subsample': 0.8}",-65.91479585026266,-59.819164675030336,-130.33858621926706,-186.6150039770586,-72.94468205739992,-82.53079969069964,-86.37001511076987,-90.83089350927972,-34.059680928586275,-47.97606160916531,-66.5846226034547,-49.09677846570976,-66.18259108347159,-64.25795328819444,-77.11133040225144,-72.20201253136885,29.969937785532267,205,-8.861842783834144,-9.133688130781856,-8.916805269511343,-8.789284942323093,-9.274206074631113,-8.621203202103528,-8.570335022310164,-10.758108936863547,-10.448106455810214,-10.22450337907,-9.833014009771393,-9.969719260579831,-9.045718825869631,-9.552462428067901,-10.19802029163297,-9.479801267544048,0.6881193927850107
79,22.13301822344462,1.9562566583006555,0.01405787467956543,0.0057637332785620025,0.5,30,5,2,10,20,0.8,"{'estimator__learning_rate': 0.5, 'estimator__max_depth': 30, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20, 'estimator__subsample': 0.8}",-70.63719908198418,-60.09230716106761,-133.0736930718243,-182.12223298343997,-72.9048323861974,-88.03949671438666,-84.55529439217294,-83.41526957011068,-36.89722384177317,-51.287024236143225,-70.57075625378107,-53.4563277701483,-66.88238398720135,-64.19535137206961,-73.48450362074351,-73.83095503444035,28.91328736068141,215,-9.139628220354869,-9.409256691751812,-9.294596373713308,-9.031979057826764,-9.838504834774055,-8.784844213100943,-9.521937614514766,-9.900012752410493,-9.582283414863705,-8.935643975154246,-9.901838470882677,-10.319342551304995,-9.344384751585796,-9.617940920151707,-9.748795139313652,-9.491399265446919,0.4035543298816411
203,13.4263205687205,1.3725273228370958,0.0065959453582763675,0.0016644008960056233,0.8,30,10,2,10,10,1.0,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 30, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 1.0}",-69.94503176807332,-67.2764859024334,-143.8499279375877,-187.8611575064246,-74.68908360668965,-96.77238743396329,-91.86683234552243,-89.38893035676551,-42.6289574125361,-60.40781990679526,-72.36318532395524,-62.252354576618586,-74.63497766474981,-68.02785022475962,-81.04728305082315,-80.43026092846999,29.50949014312476,251,-10.535734729145279,-11.321467755527895,-11.16552405467047,-10.781644439899546,-10.854693791781568,-10.636104270655451,-12.356522407744908,-12.902312934404216,-11.691922883519576,-11.349329904774546,-11.066208256725712,-11.261663384225008,-11.474271262196932,-11.1768088015658,-11.8514972716403,-11.361713743231816,0.6163750095735457
185,12.748471800486247,1.8339358938094539,0.007728465398152669,0.0022336513542941428,0.8,30,5,2,10,10,1.0,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 30, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 1.0}",-82.40518219966347,-71.2985840650822,-142.92213807008784,-204.0047594501072,-92.70842594935314,-97.26132497602364,-103.83127851467427,-91.40725615772392,-44.70886100860237,-63.746535590092684,-80.43151750438423,-64.49248977868486,-75.66489711525905,-78.18764185659515,-90.63702832425967,-86.04689401843162,30.503607279502326,272,-12.272641733685674,-10.48548459226655,-10.858412502733078,-10.793608211042303,-12.450983877751138,-11.841855644173236,-11.206302281214315,-12.39481548445106,-11.88858182015266,-12.69240294605174,-11.409250963633188,-12.132254476883366,-12.627900675578351,-11.417351052348497,-12.557117142017125,-11.801930893598819,0.7049768105130255
95,15.303762785593669,0.7478372174664795,0.008594783147176106,0.006180436630790291,0.5,30,10,2,10,10,1.0,"{'estimator__learning_rate': 0.5, 'estimator__max_depth': 30, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 1.0}",-64.02499072596844,-60.4754905139147,-124.41868386291897,-170.87425515335963,-74.30576830850313,-80.47099882271252,-81.02892290163523,-72.25970155087653,-31.717671494187744,-48.00485205318549,-63.80352376681965,-47.379621901969905,-60.789451407683146,-56.86949827523777,-70.42727328560046,-68.18673033004018,27.653387440385842,163,-12.34937691496144,-11.459714658061026,-11.285353422599668,-11.448906299254148,-12.222003545998366,-11.0021033530229,-11.462230693889735,-12.525045260479265,-12.500680986331751,-11.613391032760322,-11.969671623614422,-11.446390177305862,-11.876798445582285,-12.458412544899172,-12.138904920118893,-11.85059892525862,0.4799794964803318
77,13.808018430074055,1.0624866944038764,0.008861112594604491,0.005067974488466929,0.5,30,5,2,10,10,1.0,"{'estimator__learning_rate': 0.5, 'estimator__max_depth': 30, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 1.0}",-63.54311710656574,-62.70342421344852,-125.68525950694182,-178.10815363758152,-72.52098411414758,-80.38593946309138,-80.8105430073246,-74.94962902402317,-31.713294631273847,-48.2022001672061,-64.89290120921069,-47.0280437099142,-63.710330944505266,-61.21985196290841,-73.10079068060264,-69.31304978372032,28.512794466434922,173,-11.655641576259587,-12.275747492985701,-10.516920698421568,-11.153250565378519,-12.027239763175519,-10.865729474458629,-12.28963454535892,-11.519123571967912,-12.88711829947402,-12.764964410314677,-13.034953541560444,-11.777374806462223,-12.625748626023773,-11.391314259832019,-11.658582597162948,-11.8962229485891,0.726796201096306
293,12.119408321380615,1.8764235389581188,0.010126765569051106,0.008431931989703878,1.0,30,5,2,10,10,1.0,"{'estimator__learning_rate': 1.0, 'estimator__max_depth': 30, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 1.0}",-96.38430852177979,-79.64071759605255,-162.22996194022303,-217.94753123471006,-112.63509037969104,-116.01103853780697,-102.3016722127339,-120.93646896303088,-55.646058031682834,-66.89562190490338,-91.01159243686816,-71.61977014067328,-88.47290966256375,-91.4016397748633,-106.38648315094323,-98.55331912962713,33.226334585756184,297,-11.346042308928858,-11.646533913057027,-12.813748966913312,-12.372435744682416,-11.66210058555765,-11.364254637381118,-10.513884004066892,-11.327752086686589,-11.631256303347122,-12.30868666559327,-13.165846705796042,-12.41063516978418,-12.201977962241973,-12.116875364029775,-12.938230697497811,-11.988017407704268,0.6939720503215883
311,13.34350488980611,1.7458047942276103,0.009260908762613932,0.0061871808309657715,1.0,30,10,2,10,10,1.0,"{'estimator__learning_rate': 1.0, 'estimator__max_depth': 30, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 1.0}",-85.3216951229241,-82.73903760308869,-148.58903055103795,-213.81039219495943,-90.20437340091225,-109.73747096747903,-98.58533388485152,-100.84140850913158,-50.806249350769846,-72.23632682239898,-86.12218477297645,-71.97484910972271,-89.65187513732988,-80.75570560729406,-95.93683118570068,-92.7716773855797,30.71077062962281,288,-12.794757681289468,-12.793721613477198,-14.042528469362471,-10.649354079653278,-12.611246222007562,-13.004542242430691,-11.19358972874285,-12.822902047209155,-11.908134200130835,-12.393848673922363,-10.455120930429004,-11.541997003486909,-11.74709530291884,-10.84088687303166,-11.194621394445475,-11.999623097502514,0.992777379191974
322,20.233989477157593,1.2279261142235773,0.016523043314615887,0.010236665281628358,1.0,30,10,10,10,20,0.8,"{'estimator__learning_rate': 1.0, 'estimator__max_depth': 30, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20, 'estimator__subsample': 0.8}",-81.3576756749208,-82.88964331571965,-143.51760107482787,-204.7159476539702,-74.44343367888614,-102.05653197845815,-89.91357243065552,-106.99504422096716,-52.41798956512406,-69.36479615480002,-87.64194570450286,-69.44323802263148,-85.57677369858007,-77.92951846964074,-95.21201266452294,-89.18547037638828,29.05248933070738,277,-12.397674988747273,-13.06750350876466,-12.66319135141533,-11.926045086871744,-13.515893073517702,-12.263170974461202,-13.303247535572268,-14.235930850422585,-13.886201528018926,-13.714186818454928,-14.132862552365944,-13.88308348523807,-13.821100959003406,-13.67406968458431,-13.338672517178177,-13.321522327641102,0.6886689979153223
323,19.80178909301758,3.388454826916194,0.010393524169921875,0.003399854167588231,1.0,30,10,10,10,20,1.0,"{'estimator__learning_rate': 1.0, 'estimator__max_depth': 30, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20, 'estimator__subsample': 1.0}",-76.09024179902777,-73.04050347251871,-131.1725959852797,-195.22506228419135,-65.51167213338445,-88.1291470730855,-84.60216399900338,-95.66200845061658,-45.310249737058015,-55.8321279639805,-73.86003675230447,-58.22443848874038,-74.30174204284937,-69.56477561578716,-83.71712947280841,-78.73694906223955,28.537922597402922,243,-13.072836898807235,-14.854483292277212,-12.72882597127953,-12.014965520002255,-15.236381333184756,-12.89651553238507,-13.310749682129279,-13.172794475168772,-13.599729547630762,-14.150738884224259,-14.111505086017326,-15.077256384888113,-14.433282131011726,-14.766162747153563,-13.737011204201512,-13.810882579357424,0.9206861353600704
305,16.522278102238975,2.498520896869304,0.01345828374226888,0.004094061765566238,1.0,30,5,10,10,20,1.0,"{'estimator__learning_rate': 1.0, 'estimator__max_depth': 30, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20, 'estimator__subsample': 1.0}",-75.63268520520421,-82.4008004403386,-134.2687953582114,-200.12323603822006,-68.94587454426475,-96.08111097413095,-89.90352075672877,-105.27657034970068,-46.649865854611996,-58.14211641507863,-85.31407937571092,-62.52375379246382,-79.80529516842725,-77.6113094558366,-87.95746013518297,-83.56570052682848,29.195765911633472,265,-14.182748932970451,-13.828368076599011,-13.173300794869215,-13.01108025006123,-13.898164629830086,-13.734185962751178,-13.440312864714718,-14.196989579205956,-14.786588639008546,-14.764861053557027,-14.346634803612252,-14.855996610549022,-14.172965589909861,-15.227499909195583,-16.062465676216895,-14.245477558203403,0.7789094933636991
215,22.73219412167867,2.3348374987878096,0.012059338887532552,0.004520735103917436,0.8,30,10,10,10,20,1.0,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 30, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20, 'estimator__subsample': 1.0}",-63.121291984240465,-65.11440315930358,-125.22525863770511,-178.2249147615499,-60.69565422245112,-81.67602085357683,-74.47239404729712,-87.98842789558007,-34.587989292672326,-47.48883959022512,-67.0885121100981,-46.80045169508129,-64.39138623013746,-65.16944212032067,-71.78005847914876,-69.52415655761526,28.25130876454031,178,-14.402515563377227,-14.71799813077837,-13.406505499392875,-13.045754546387665,-15.53189156176066,-13.280183327016426,-14.34879290554342,-14.397105041735694,-15.815003380276915,-15.298621772283337,-14.734885738973343,-16.334309786579873,-14.545699453789965,-14.996681867120179,-15.021873276205918,-14.658521456748124,0.8901266542871411
202,12.088662735621135,1.5702997358973598,0.008594465255737305,0.0044513886227245695,0.8,30,10,2,10,10,0.8,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 30, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 0.8}",-78.91736860537938,-76.65662424748639,-156.63101266679732,-209.84812282052582,-83.07618526296302,-102.48374550688182,-105.55887992908052,-97.96096710817181,-49.994861660617445,-65.64314401575885,-76.93106146532241,-64.52408596408432,-85.33497454225935,-75.04964792074492,-88.20894776006297,-88.3394353624325,32.36062199778049,275,-14.019104257589731,-14.720531958020052,-13.790328975330166,-12.941747471683783,-15.248225438834897,-14.128271706620264,-15.161686343713688,-15.762687159014552,-15.063478841019286,-15.513527095073176,-15.041470036990116,-16.219750390871585,-14.967963656803807,-14.108677030535727,-14.637038503362271,-14.754965924364207,0.8145827366595837
304,15.474853452046712,2.089846330641526,0.013858350118001302,0.007269929944626245,1.0,30,5,10,10,20,0.8,"{'estimator__learning_rate': 1.0, 'estimator__max_depth': 30, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20, 'estimator__subsample': 0.8}",-91.76294265625141,-74.21910951441025,-148.99485776796163,-202.8224030946464,-84.97009568080995,-105.50478336423785,-91.43672558706882,-106.04219382495754,-59.167169192298914,-69.49815019897902,-93.17651666837034,-70.69787391171253,-86.99081454829332,-80.1996194608242,-92.13450713656489,-91.7560944432513,28.55065514030895,283,-15.061382019524643,-14.783952814820179,-14.11255620645105,-13.890341465133536,-14.629243108442575,-14.181182927433733,-14.901849125276147,-15.26530815307298,-15.963433036191338,-15.656517976997018,-15.816537516631314,-15.263471247215927,-14.551858006863856,-15.684910037082933,-14.40304230803682,-14.944372396611604,0.6341677743866605
76,11.524759578704835,0.7008342983153872,0.009127918879191082,0.0071403836975979405,0.5,30,5,2,10,10,0.8,"{'estimator__learning_rate': 0.5, 'estimator__max_depth': 30, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 0.8}",-65.0843105838786,-65.25926656830008,-126.87202699971802,-177.5770625348684,-68.2151051991141,-83.28198260651456,-84.4090637149518,-85.44651005253239,-34.090099374109364,-49.60267423704668,-67.06513565264746,-50.36110952828117,-66.05868867931358,-66.32392670909364,-77.56427680298614,-71.97371430263374,28.145262062195293,203,-15.160866322789392,-15.105021170235796,-14.57422170413974,-13.905116817535108,-15.686328144440358,-13.944203226900365,-15.085325844233381,-14.88475992791679,-15.96271681539812,-15.992367118215014,-14.733161359184475,-15.202205526595549,-15.447839560675765,-15.105455582404772,-15.0282720881226,-15.054524080585814,0.5896253677255431
94,12.640338404973347,0.8648697570810909,0.008461300532023113,0.005054643707951013,0.5,30,10,2,10,10,0.8,"{'estimator__learning_rate': 0.5, 'estimator__max_depth': 30, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 0.8}",-61.24928874373319,-62.48202073473728,-134.60764138781096,-174.4189012990742,-76.45956067748796,-83.33701356354891,-86.1554034459641,-78.03748643466204,-32.92942240018463,-44.66108421157081,-66.97786017026047,-47.36298096468903,-65.23301214922999,-59.18487047286517,-74.45525384788156,-70.46504064587698,29.67490311372997,184,-14.879153410960276,-14.629508231614878,-14.200513806692367,-14.197403439666335,-14.089260098900919,-14.47660877869601,-15.158267654511661,-15.103378553700045,-16.30809811338002,-15.530661379499758,-15.164604323459713,-16.623974288284145,-16.394595078741336,-14.946042247198648,-14.941883652534637,-15.109596870522717,0.7747021058737797
214,18.584572887420656,2.6455424156197784,0.014657704035441081,0.009272427409556418,0.8,30,10,10,10,20,0.8,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 30, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20, 'estimator__subsample': 0.8}",-70.08359381466752,-66.42515493175189,-129.51849385964914,-188.74164337155057,-66.32339413382537,-85.17995034275471,-74.23291443208268,-88.81021469474534,-38.61745375381328,-49.723596340635154,-70.99033029733013,-54.27678585427253,-68.02934801208565,-70.02704470083309,-78.37767375558022,-74.08355947843599,28.81308735125062,218,-15.067797786784109,-15.194985315017863,-14.085970772492022,-13.796903191410589,-15.110388277404857,-14.435667429254725,-15.505572419200679,-15.461865479822194,-16.434263614434567,-14.718033165277964,-16.08599050385899,-16.077159829429142,-15.583431882283472,-15.569383917016854,-15.323929020310185,-15.230089506933215,0.7107159005694726
184,12.228126192092896,1.8500852137585462,0.008594671885172525,0.005650926290800205,0.8,30,5,2,10,10,0.8,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 30, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 0.8}",-82.92289728133522,-83.68276164352626,-152.47516559870695,-236.71404961078073,-101.39716965135199,-105.3762515256602,-94.40055130250269,-105.7677612940573,-52.322278251468546,-71.38953695497268,-90.04977209568827,-69.10277326407225,-84.56305988490045,-82.15777006000403,-106.06386494163849,-93.9385321602654,34.18888392568185,290,-14.64856515834025,-15.35227213347093,-14.507949559105493,-13.779556846930074,-16.291688085941967,-14.41208611356215,-15.636950048732539,-14.35137392312854,-16.849319209878654,-16.7515143245292,-16.20563678701197,-15.56836546747937,-14.777471003830792,-15.907503119384643,-14.815058704643429,-15.323687365731333,0.9099371500290103
