,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__learning_rate,param_estimator__max_depth,param_estimator__max_features,param_estimator__min_samples_leaf,param_estimator__min_samples_split,param_estimator__n_estimators,param_estimator__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score
296,21.3938311735789,2.502141644762781,0.013858286539713542,0.006941897603411067,1.0,30,5,2,10,20,1.0,"{'estimator__learning_rate': 1.0, 'estimator__max_depth': 30, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20, 'estimator__subsample': 1.0}",-96.38948248206309,-101.9105925582178,-180.16074153775156,-235.6049480932897,-119.54161872319034,-127.17152254594725,-105.27644490613909,-112.30600946585801,-53.87211247075599,-69.7556481913436,-90.4791490860545,-76.30428179005365,-99.22735260298812,-87.17213567518118,-109.98504471152737,-103.9001733799556,37.52341442945139,302,-6.79750360024489,-6.860484461671083,-7.086416607673162,-7.0889025146769695,-7.724339240304964,-6.756901162410939,-7.375186548967117,-8.663607314502707,-7.381382917659508,-7.624376696563688,-7.572411095110728,-7.135993779585883,-7.82842503304349,-7.9246793621549845,-7.9511963386848326,-7.4514537782169965,0.5058553265976452
206,30.14807537396749,3.9718664478276806,0.01825556755065918,0.009023543896378336,0.8,30,10,2,10,20,1.0,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 30, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20, 'estimator__subsample': 1.0}",-72.35121249719249,-69.34995561803615,-143.1274317836701,-202.52629838481022,-80.31407645621775,-99.62055128155846,-99.22980513746347,-87.5886384928588,-43.96336245249901,-60.66918949664189,-74.77796015509142,-62.84181043506453,-77.25932113527537,-70.70157889728495,-87.91142223472339,-83.3497002888607,31.060046912087934,263,-7.424876760794291,-8.077620302765876,-6.9774437872544555,-7.413923959968022,-8.345214566682056,-7.256499046614363,-7.524081608753873,-7.81567471715677,-8.389961530325115,-7.885329617491928,-7.992078466956238,-8.029619761616766,-8.079150086605697,-7.887646382012332,-8.480537349261594,-7.838643862950627,0.4229866363803903
188,25.87353558540344,2.5488170100565264,0.014658021926879882,0.005823506822436458,0.8,30,5,2,10,20,1.0,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 30, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20, 'estimator__subsample': 1.0}",-82.1205255799022,-76.11137364900557,-143.04830957645174,-202.65188578681006,-82.65367588838407,-99.60469788240444,-85.7753208534281,-95.80905139900077,-46.44123686465387,-63.83582762391129,-84.6807459150299,-61.251133427837985,-75.36706853790398,-77.27387223333572,-91.28350140365947,-85.20122686809393,30.205083199034487,268,-7.966724919576168,-8.714479189208769,-7.629203057784791,-6.895489567583155,-7.621454629327026,-7.801622817465903,-7.697588053822123,-7.948691842635512,-8.12827854227233,-7.801895396052217,-7.919933469067713,-7.313577541723492,-8.181351596751714,-8.277364650279436,-7.967620685099097,-7.857685063909963,0.4071125267357329
314,30.13528699874878,2.7352366765794063,0.017922163009643555,0.014811745577604351,1.0,30,10,2,10,20,1.0,"{'estimator__learning_rate': 1.0, 'estimator__max_depth': 30, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20, 'estimator__subsample': 1.0}",-86.59627286350413,-78.68351045058958,-164.3836939474764,-226.44672691531804,-98.27886013182354,-116.56938250585196,-113.85918897676876,-106.36535463660951,-50.6348663541458,-71.8115051031007,-93.62918639551005,-70.31161779585376,-87.01043416055323,-81.07052625388465,-101.21745058567403,-96.55905932095085,35.03470812319548,294,-7.327417511785219,-8.64605552009111,-7.081764830108431,-7.411047274177138,-9.51089253710463,-7.111973167975225,-7.539266703252807,-7.8974199822364,-9.154405499945417,-9.062151878989631,-7.881997621729747,-7.893275953013,-7.699449268555502,-8.142323154483108,-7.034740369557648,-7.959612084867001,0.768459068524171
80,24.79291106859843,2.4927632115393514,0.014191261927286784,0.006226893235226383,0.5,30,5,2,10,20,1.0,"{'estimator__learning_rate': 0.5, 'estimator__max_depth': 30, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20, 'estimator__subsample': 1.0}",-70.4392888471903,-58.62057673164249,-125.01945235040766,-174.93738226340886,-72.62505405875783,-86.23025446135743,-79.18520846730914,-80.05211091051316,-34.0721897742841,-48.885066513895794,-64.45512489888876,-46.91850932010673,-64.51920546515532,-61.06507354851251,-71.14882797681976,-70.45017101974351,28.066081800006064,182,-8.105628214101767,-8.177286750815295,-7.857397160528376,-8.026174727352236,-8.200869208293982,-6.786808989859298,-8.41758247802789,-8.202048516981742,-8.91546282133697,-7.786200675103002,-8.4249365272842,-7.813715365086108,-8.441820825276713,-8.085934384106292,-8.089277232925856,-8.088742925138648,0.4459054250856331
98,27.134134101867676,2.2872802363570948,0.01185914675394694,0.004061261552192295,0.5,30,10,2,10,20,1.0,"{'estimator__learning_rate': 0.5, 'estimator__max_depth': 30, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20, 'estimator__subsample': 1.0}",-64.86752738724083,-60.82333023563044,-123.69149097999616,-179.0102980601758,-68.571773984238,-82.38530762229739,-76.37322267801085,-76.88609812157908,-33.093748075929135,-46.610797607534856,-62.89020840796584,-48.719303794006656,-62.108878891354564,-59.953557961038314,-71.19383828275872,-68.88527160981813,28.270553070729168,169,-8.711841301060682,-8.025827741178745,-7.596084078589638,-7.251871298217969,-8.533221341818006,-7.778616137832492,-8.06625088678808,-8.143555084286348,-9.248563873801043,-8.743136281988239,-8.242015515757554,-8.762721651840746,-8.138659533618846,-7.675679645037519,-8.635088612604283,-8.23687553229468,0.5180823189752904
313,23.90606953303019,2.7885375813752753,0.012991762161254883,0.0071230551276315664,1.0,30,10,2,10,20,0.8,"{'estimator__learning_rate': 1.0, 'estimator__max_depth': 30, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20, 'estimator__subsample': 0.8}",-97.08409365323553,-99.85546069946102,-181.16675989414213,-228.3377532086265,-105.36941267798902,-134.62499471751522,-125.68204644996845,-127.29409824967131,-65.09107437050572,-82.30487989082033,-112.83342848000446,-86.23633280357379,-97.9580370157804,-94.23830631489272,-120.37132062019914,-110.99579340002028,34.608335316679856,307,-7.822782924592792,-9.232662026947963,-7.91106473865967,-8.067346366634366,-9.695766454860749,-8.460668834643045,-8.987091818624968,-9.737659748380455,-10.520488682469061,-8.804527475282626,-9.639325063272782,-8.302774687290682,-9.3689267835335,-8.361467356071568,-10.293213193151,-9.013717743627682,0.8275762077698275
205,27.747070185343425,5.587866969088938,0.014058065414428712,0.00875417874922217,0.8,30,10,2,10,20,0.8,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 30, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20, 'estimator__subsample': 0.8}",-86.53599649756828,-88.29131259351186,-148.11553563090715,-224.80389545149256,-92.16175068593529,-102.1546258503013,-107.68414156975396,-104.41629814329576,-51.315351601500105,-68.17936835837322,-81.83832956458832,-66.54057971503705,-81.97889850605061,-83.1051266960192,-91.6438720830618,-91.13233632440961,32.42536590096531,282,-9.49895451069617,-8.852220333689743,-8.35879294091737,-8.043816491781175,-9.691908375942862,-8.657487280092203,-8.63159560808165,-9.264649527153164,-9.444843386416338,-10.238232287956894,-9.104299477734093,-9.548572499942917,-9.338148704172081,-8.613496870489753,-8.81840126896138,-9.073694637601852,0.5571474960940689
187,28.6381499449412,3.9240650414578067,0.0201873779296875,0.0071711756012402894,0.8,30,5,2,10,20,0.8,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 30, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20, 'estimator__subsample': 0.8}",-87.75786958922095,-80.54483293565302,-158.0966594732794,-220.39551124848066,-87.16241023762068,-115.6940314413152,-106.47386174805783,-112.06022011289238,-54.713073456566406,-70.64133294084168,-88.48628701439196,-71.53254312268703,-91.4899065775821,-86.71808129367314,-98.12374217312492,-96.03199080630822,32.710690477743555,293,-9.179330403001373,-8.899336588092622,-8.40450388836553,-9.012699975572374,-8.829797742051486,-7.8669414053310645,-9.15264495574251,-9.359829530539605,-9.500411889551117,-10.085411128889348,-9.000256214641492,-10.39505200186016,-9.095965795423425,-9.568540659707285,-8.395365039179763,-9.116405814529944,0.6181754855221221
295,24.454289150238036,2.7259641931787684,0.014790678024291992,0.004718311396228353,1.0,30,5,2,10,20,0.8,"{'estimator__learning_rate': 1.0, 'estimator__max_depth': 30, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 20, 'estimator__subsample': 0.8}",-117.37787519478647,-110.73550308342483,-201.82427624313715,-239.518697016054,-123.9435946448478,-131.59882415359556,-131.6817819816119,-116.75865519405079,-68.31115135666306,-91.33215749270904,-110.37953814810867,-98.91839647383374,-107.79827935236779,-116.4358425756237,-129.50587241314253,-120.26136870130087,35.467480110219505,311,-8.063027077012569,-8.818217666344902,-9.114166862331867,-8.249351914136788,-9.588139756860324,-9.105111096397918,-8.567728494046746,-9.058385215613157,-9.454792735656591,-9.196245040811714,-9.431629565665446,-9.400180589012182,-9.601820053252855,-9.57452641176967,-9.964661597922055,-9.145865605122319,0.5118710375761065
