,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__learning_rate,param_estimator__max_depth,param_estimator__max_features,param_estimator__min_samples_leaf,param_estimator__min_samples_split,param_estimator__n_estimators,param_estimator__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score
1,1.7753052393595377,0.10058341555644335,0.0026648998260498046,0.0006984733784288636,0.8,10,10,2,10,5,0.8,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 10, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 5, 'estimator__subsample': 0.8}",-67.01274237357401,-57.21936658365473,-133.20487791841734,-181.5796521641012,-83.72234373512134,-85.59124036258035,-83.61998941052411,-74.92497742135296,-28.284194967197635,-45.59759984899678,-65.86487371484006,-45.71981385904654,-63.649374436024644,-60.26321941045048,-70.71007568334305,-70.21420439902428,30.99086763061769,3,-35.37083865893346,-35.035595651015385,-33.03130907447938,-34.65113598870465,-35.37992438720623,-34.10656180295877,-36.21913551768094,-35.07976029168682,-38.53518379938734,-37.88259699746783,-36.58133425639034,-37.781635642256376,-35.426344384956586,-34.88441302175867,-35.84588772614107,-35.720777146734925,1.4314172745675864
3,1.4553024450937906,0.2597796058909688,0.002531925837198893,0.0006177612863193163,0.8,10,10,10,10,5,0.8,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 10, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 5, 'estimator__subsample': 0.8}",-62.01470493779766,-60.527462485895356,-114.68754526346488,-170.86489800514408,-62.88766880209058,-78.54897229571125,-69.70686855883457,-70.14927730564118,-28.58258324580256,-40.87201579645191,-59.28016527963966,-44.946078499236215,-56.49808614152747,-54.31419178499626,-67.39307464820182,-64.03412772625316,27.36159946193931,1,-39.29984685361497,-40.28410526092662,-36.9109248510439,-37.236663501828524,-40.40456838667598,-37.453101201222566,-39.5589475633942,-40.04355060740803,-41.45459757218332,-41.90512163561031,-40.44338440365248,-41.02741548128264,-39.650788692217915,-41.2287924120082,-39.62906149311688,-39.7687246610791,1.4733364041520698
0,1.125505526860555,0.309942272830038,0.0027983347574869794,0.0008323124845793529,0.8,10,10,2,10,5,0.5,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 10, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 5, 'estimator__subsample': 0.5}",-86.25062135034281,-67.79728853585975,-144.80685695959156,-193.04465420997025,-86.91475717575736,-89.19511635877966,-89.6718189162274,-80.23079153934843,-33.51893040369372,-57.27281127580632,-70.8907143785511,-53.21871803537906,-69.57829891104906,-64.74867316338926,-84.33694345962185,-78.61846729639956,31.89056339213545,4,-45.09165161865698,-46.62651827367536,-43.37519780788917,-43.20443960585468,-47.707542012051206,-43.47755048423319,-46.10435848954336,-46.23521990044476,-49.383923588262874,-47.80811776746939,-45.82030546536409,-49.38924301857071,-45.620205894844915,-45.77409547242808,-46.1532899687041,-46.11811062453286,1.8532142579404645
2,1.1911319732666015,0.08046692087159249,0.005863173802693685,0.007397082835802765,0.8,10,10,10,10,5,0.5,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 10, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 5, 'estimator__subsample': 0.5}",-60.74615295169747,-60.07157363124103,-118.50773757118108,-173.23275038114315,-63.59514862772319,-79.47209782810566,-74.96584027954815,-73.23244585510903,-29.971837382669822,-47.588822950225584,-60.67353154326581,-43.700807100899716,-58.93778044206147,-59.56824588560048,-75.89534767291575,-66.7356372392529,27.749079932207735,2,-47.12927676503834,-46.786247272593855,-43.904462824120074,-44.23772797649467,-48.15429203373538,-45.49156144350577,-46.74596519425618,-47.20796177005205,-50.03339512039438,-48.3681927705495,-47.96874972746182,-48.974770726025554,-47.5797230020744,-47.96424187735158,-46.18066457520893,-47.11514887192416,1.6049995686664715
