PSEUDO_DEPTH,TEMP       ,CALI       ,GR         ,ILD        ,NPHI       ,RHOB       ,DT         ,TVD        ,TVDSS      ,VCL        ,PHIE       ,PHIT       ,SW         ,EF,PERFOS     ,RES_ID,WELL_ID,X,Y,HACKANAME
2135.18,89.29,10.46,66.17,1.2985,0.2687,2.2902,115.42,1646.88,1624.88,0.5243,0.1104,0.2704,0.9632,5,0,3005,210075859,15,20,B03
2135.34,89.29,10.29,68.34,1.3918,0.2583,2.2725,114.73,1647.03,1625.03,0.5696,0.1005,0.2744,0.9192,5,0,3005,210075859,15,20,B03
2135.49,89.3,10.01,70.58,1.4699,0.2483,2.2413,116.79,1647.18,1625.18,0.6162,0.0995,0.2875,0.8467,5,0,3005,210075859,15,20,B03
2135.64,89.3,9.83,70.74,1.6103,0.2459,2.2195,119.72,1647.32,1625.32,0.6196,0.1077,0.2968,0.7594,5,0,3005,210075859,15,20,B03
2135.79,89.31,9.93,68.25,1.7616,0.2473,2.2199,120.01,1647.47,1625.47,0.5676,0.1212,0.2944,0.704,5,0,3005,210075859,15,20,B03
2135.94,89.31,9.84,63.62,1.9089,0.2419,2.2475,120.31,1647.62,1625.62,0.4713,0.1329,0.2768,0.6893,5,0,3005,210075859,15,20,B03
2136.1,89.32,9.77,58.54,2.0103,0.2322,2.267,123.22,1647.76,1625.76,0.3654,0.1505,0.262,0.6752,2,0,3005,210075859,15,20,B03
2136.25,89.32,9.92,55.15,1.9987,0.2207,2.2678,124.19,1647.91,1625.91,0.2947,0.1662,0.2561,0.6685,2,0,3005,210075859,15,20,B03
2136.4,89.33,10.16,59.71,1.8318,0.2241,2.299,122.19,1648.06,1626.06,0.3898,0.1284,0.2474,0.7808,2,0,3005,210075859,15,20,B03
2136.55,89.34,10.29,65.52,1.5934,0.2417,2.3069,120.36,1648.2,1626.2,0.5107,0.097,0.2528,0.8931,5,0,3005,210075859,15,20,B03
2136.71,89.34,10.36,69.15,1.3677,0.2622,2.3022,120.89,1648.35,1626.35,0.5866,0.0852,0.2642,0.9832,5,0,3005,210075859,15,20,B03
