,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__learning_rate,param_estimator__max_depth,param_estimator__max_features,param_estimator__min_samples_leaf,param_estimator__min_samples_split,param_estimator__n_estimators,param_estimator__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score
134,2.2292256196339926,0.1312636825207063,0.003464349110921224,0.0007176971247291295,1.0,10,10,2,10,5,1.0,"{'estimator__learning_rate': 1.0, 'estimator__max_depth': 10, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 5, 'estimator__subsample': 1.0}",-70.84936475110915,-62.66167391871314,-138.88678506311814,-191.5713180092586,-89.95076328012021,-92.45213677631497,-81.76513052908359,-73.51224541067111,-30.251913246519184,-48.55311857071281,-66.71308217048367,-47.47601681767539,-65.88781038503427,-60.02340328672822,-76.63397659856881,-73.66215197408451,32.64001831745159,122,-34.80899450243716,-35.3766425870735,-33.006359706291235,-34.91465469174296,-35.00814219364331,-34.09169932700648,-35.83729837368135,-35.031366162597855,-38.50005739364411,-35.66040853855725,-32.2364349458107,-37.21882973871694,-34.76163321956409,-36.24241031993707,-36.435419342961744,-35.27535673624438,1.4934949221767635
37,2.4590169906616213,0.30565713261359684,0.0035980224609375,0.000711459193922756,0.5,10,10,2,10,5,0.8,"{'estimator__learning_rate': 0.5, 'estimator__max_depth': 10, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 5, 'estimator__subsample': 0.8}",-70.34079098734847,-53.052625485209674,-123.35580468458042,-179.73841422104033,-87.7622380752205,-79.07296023445996,-86.08608454657694,-67.34512844401624,-24.8126170673088,-43.693516910089286,-54.28632293180804,-42.161015557599384,-57.90483344614387,-54.08419199447426,-68.3702348151318,-66.56152997359685,30.680211399223268,89,-36.45064431010576,-35.977679609742644,-33.49685209699813,-34.12674388503299,-35.373493429446576,-33.67819315404689,-35.03958974803736,-35.18110064531231,-37.39023080929379,-36.89294135192421,-35.49063851340945,-37.34613690118494,-35.31885513573398,-35.539055708489954,-35.51588343569357,-35.52120258229684,1.1439233615453672
39,4.057031599680583,0.2703912875262092,0.007728354136149088,0.005128011329719721,0.5,10,10,2,10,10,0.5,"{'estimator__learning_rate': 0.5, 'estimator__max_depth': 10, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 0.5}",-60.56801045949843,-56.686532119495766,-131.24344587332226,-181.52868764896124,-74.01726415659682,-80.32367865310441,-84.63582214168353,-69.92032997252474,-27.432164477285106,-44.83173186107171,-64.86783594894722,-43.89113242646139,-60.38773490684931,-55.721229120810335,-70.8283837193579,-67.59289725959434,30.905974483256383,97,-36.01735223356225,-35.42068042555581,-32.96497658454834,-33.752489763430695,-36.19282366609386,-34.34612348791762,-35.6225579307276,-35.71514590819246,-39.4993783801896,-37.36105501855904,-35.65941239550652,-37.59381075782923,-37.113630348584635,-35.95091492397761,-35.50904264974129,-35.91462629829444,1.543228606112597
85,2.521111996968587,0.3556057115982516,0.0035976727803548178,0.0009518880903481837,0.8,10,10,2,10,5,0.8,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 10, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 5, 'estimator__subsample': 0.8}",-63.59715172540977,-57.676741314813775,-135.55349876443512,-184.30419604457373,-87.82560848826787,-86.54077712857654,-90.52738374789006,-74.80119669417402,-30.014401685702545,-46.034982012375124,-65.97321758802465,-46.220909747478075,-64.23747333314672,-59.785774038839826,-75.76758182629905,-71.59268746118222,31.68521047932163,117,-35.73485127638742,-36.90798256846995,-33.123848691716,-33.70090440145047,-36.21862022152095,-34.09784860359436,-35.80917811978638,-37.273761414601516,-37.436520097670154,-37.04588205266575,-34.875288143975695,-36.70753484951831,-37.31195438867892,-37.410366579470725,-35.3448781129609,-35.93329463483117,1.3850034745025488
124,2.4524878660837808,0.22380063551720827,0.00373080571492513,0.0007709073830819375,1.0,10,5,2,10,10,0.8,"{'estimator__learning_rate': 1.0, 'estimator__max_depth': 10, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 0.8}",-84.82313737092824,-81.07887689756274,-136.8229759031197,-215.16262960487083,-104.27970541493055,-104.97085437769707,-89.10628186580291,-101.65472655665454,-36.423542910017815,-54.84727741222365,-81.70077944092772,-58.96382248543733,-74.23343884076898,-69.29982133880875,-89.84149333470143,-84.52233938583328,33.91066660148394,138,-35.98582058066067,-36.71836278206179,-34.531856273378835,-34.34019784681018,-38.20734213891494,-35.564720840529915,-36.74418665223557,-35.274076720573206,-36.64604453971944,-37.33924351684762,-38.29822424260036,-37.93573413501579,-37.990074336260335,-35.587841499088604,-36.27905156548927,-36.49618517801243,1.2469758976661098
92,2.4504220326741537,0.18144844449045877,0.0039977232615153,0.001365556211890712,0.8,10,10,10,10,5,1.0,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 10, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 5, 'estimator__subsample': 1.0}",-59.23586592678676,-58.33538624678654,-117.8732916742043,-177.5042172264804,-58.78481530452369,-74.86510415670227,-65.9205800416067,-68.13149305866632,-27.14495059902746,-42.02770036949313,-59.4716757768933,-42.99813365405104,-55.82999856645265,-58.98375169209602,-65.97990849143106,-63.19167803940786,28.47978598974527,63,-36.24928639258129,-37.16883313326874,-34.02109377023305,-34.18899955786868,-37.4114923314058,-34.08403823730767,-36.632725011509805,-36.50417555228071,-38.72537569860408,-38.22686474888242,-35.82560225015523,-38.100499484968644,-36.59358451361876,-36.182619915956614,-37.757882546385034,-36.51153820966843,1.4450316397455132
131,3.2018921693166096,0.5178083640080247,0.005996529261271159,0.0049097798143269405,1.0,10,5,10,10,10,1.0,"{'estimator__learning_rate': 1.0, 'estimator__max_depth': 10, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 1.0}",-71.37404222091614,-62.88262032640269,-128.07602803310763,-193.02345055019538,-69.24102716865558,-90.66383028797037,-69.0641048487388,-81.01028075254582,-28.852121527790974,-47.9311862192723,-65.6386112111365,-47.42593588907764,-68.39711421105892,-61.487602974944615,-71.25837569836531,-71.20345382146965,31.364162129697004,114,-36.97999717128575,-36.68063620317125,-34.364408042998456,-33.58522676285093,-37.94353371713983,-35.93255280640736,-36.029104576320016,-36.27360150375292,-38.700065703611145,-38.00895248455764,-36.74801958293756,-39.60950986712161,-36.75087654253853,-37.86829214381748,-38.391906841580614,-36.92444559667274,1.5418262424813183
142,3.4535368919372558,0.2217572798127944,0.0051300366719563804,0.0026278767755185096,1.0,10,10,10,10,10,0.8,"{'estimator__learning_rate': 1.0, 'estimator__max_depth': 10, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 0.8}",-72.09953844784603,-63.39395971492358,-129.85682945155645,-174.825567842569,-61.598213158468866,-85.21026145015294,-75.49621104299379,-76.38797711819286,-34.2292960254559,-49.12362466878559,-68.39234843253541,-48.9142820506968,-62.86930565936857,-61.95701405654241,-72.6623376980868,-70.67719727080714,28.294451851965626,110,-36.31763699777637,-36.70264251882463,-34.97642754907031,-35.68857759933068,-37.406445810078026,-35.672416476479256,-37.05818719751244,-37.09732149493691,-38.25921791079445,-38.46275858106177,-37.18799499376636,-38.1294422400527,-36.96491677763264,-38.900065354409875,-35.98725422096949,-36.98742038151306,1.0948449554287139
25,2.077385187149048,0.33288228198408776,0.0031980037689208984,0.0006526926851325023,0.5,10,5,2,10,5,0.8,"{'estimator__learning_rate': 0.5, 'estimator__max_depth': 10, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 5, 'estimator__subsample': 0.8}",-63.23581034546386,-54.82729950006477,-128.6707206235992,-176.80491662557978,-75.99973446390635,-81.01718957224872,-90.02410326201309,-67.5913250054169,-25.649647900852283,-43.94285011119817,-61.164578479889386,-44.30925605881985,-59.566035353341384,-58.383830793758214,-69.69119832984298,-67.48798041639427,30.48467991117765,95,-37.64419661715749,-37.29982267560683,-35.08441514520324,-35.06441270283822,-36.45781336235315,-34.785935520391604,-36.94427435934834,-36.878565488934385,-40.18490960987954,-38.04157004726254,-37.29540066911347,-39.5796201749924,-37.95611395931623,-36.82838467552658,-35.91513745917742,-37.06403816447343,1.4869204045783304
82,3.037393840154012,0.30777563564264687,0.0075285911560058595,0.004811999517580332,0.8,10,5,10,10,10,0.8,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 10, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 0.8}",-62.73786544366213,-59.54355405751805,-124.97409951827242,-176.31080411148795,-70.60823045704663,-81.15601932935333,-67.08948236899487,-80.16469751274573,-29.793954175037605,-46.57072337051211,-66.4296040484151,-43.67788088510449,-61.90391914412385,-60.38746947515797,-70.2702777396862,-67.40851965972786,28.80903748326767,94,-36.35284714600363,-36.71598030762022,-34.3951909347933,-35.39618787409605,-38.19545513913336,-34.72557607388779,-37.56357925287309,-37.77603074805866,-39.82486941989787,-38.83870880130509,-37.27192740879762,-39.57076944058453,-37.39310003432733,-38.29942491172702,-37.509372434787025,-37.3219346618595,1.5485494617162372
