PSEUDO_DEPTH;TEMP       ;CALI       ;GR         ;ILD        ;NPHI       ;RHOB       ;DT         ;TVD        ;TVDSS      ;VCL        ;PHIE       ;PHIT       ;SW         ;EF;PERFOS     ;RES_ID;WELL_ID;X;Y;HACKANAME
2394.57;95.59;12.7251;31.48;0.6709;0.2818;2.1467;122.09;1748.28;1721.08;0.0185;0.3085;0.3128;0.5316;1;0;2900;790429659;6;4;B0700
2394.72;95.59;12.6731;31.05;0.6741;0.2874;2.1412;122.66;1748.34;1721.14;0.0132;0.3135;0.3166;0.5224;1;0;2900;790429659;6;4;B0700
2394.87;95.59;12.6952;31.23;0.6757;0.2942;2.1362;123.34;1748.39;1721.19;0.0154;0.3171;0.3207;0.5157;1;0;2900;790429659;6;4;B0700
2395.02;95.59;12.7349;31.48;0.6745;0.2964;2.1347;123.68;1748.45;1721.25;0.0185;0.3177;0.322;0.5149;1;0;2900;790429659;6;4;B0700
2395.18;95.6;12.7854;31.29;0.6734;0.2893;2.1361;123.67;1748.51;1721.31;0.0161;0.3155;0.3193;0.5191;1;0;2900;790429659;6;4;B0700
2396.4;95.61;12.7422;31.06;0.6775;0.2895;2.1347;121.64;1748.96;1721.76;0.0132;0.3167;0.3198;0.5158;1;0;2900;790429659;6;4;B0700
2396.55;95.62;12.7314;31.84;0.6803;0.2856;2.1426;121.77;1749.02;1721.82;0.0229;0.3102;0.3156;0.5243;1;0;2900;790429659;6;4;B0700
2396.7;95.62;12.7215;32.61;0.6829;0.2841;2.1452;122.19;1749.08;1721.88;0.0326;0.3066;0.3142;0.5283;1;0;2900;790429659;6;4;B0700
2396.85;95.62;12.7403;32.67;0.6853;0.2801;2.1417;122.54;1749.13;1721.93;0.0334;0.3066;0.3144;0.5272;1;0;2900;790429659;6;4;B0700
2397.01;95.62;12.7382;31.66;0.6893;0.2707;2.1365;122.42;1749.19;1721.99;0.0208;0.3086;0.3135;0.5238;1;0;2900;790429659;6;4;B0700
2397.16;95.63;12.6664;31.53;0.6943;0.2656;2.1355;121.86;1749.25;1722.05;0.0191;0.3078;0.3123;0.5234;1;0;2900;790429659;6;4;B0700
